#{"t_start": 1784439046.130854, "env_id": "Reacher-v5"}
r,l,t
-17.397164,50,60.520386
-21.904805,50,60.551405
-23.165957,50,60.581274
-17.857206,50,60.611858
-18.755698,50,60.643208
-19.88809,50,60.673587
-16.101154,50,60.70421
-18.861747,50,60.735877
-18.665817,50,60.766234
-17.921292,50,60.796865
-21.379884,50,60.827103
-16.286424,50,60.858412
-21.441537,50,60.889141
-17.541622,50,60.919288
-18.235864,50,60.950691
-21.985707,50,60.980868
-17.329195,50,61.01142
-21.42361,50,61.042814
-20.1106,50,61.072862
-24.709467,50,61.103212
-15.316186,50,63.378633
-22.429521,50,63.408375
-11.306063,50,63.438552
-18.034651,50,63.4697
-17.379704,50,63.66082
-22.150282,50,63.692451
-15.498751,50,63.722669
-19.703566,50,63.752517
-20.511163,50,63.783439
-15.522262,50,63.813543
-15.590302,50,63.843983
-15.420186,50,63.875474
-20.065398,50,63.905646
-16.677183,50,63.936029
-17.865612,50,63.966104
-14.478515,50,63.99733
-16.646833,50,64.02785
-13.172445,50,64.057867
-18.446178,50,64.088826
-19.782595,50,64.119287
-18.824644,50,64.150415
-17.024843,50,64.181638
-16.62531,50,64.211363
-19.526137,50,64.241291
-21.823804,50,64.27116
-17.271543,50,64.302164
-16.996259,50,64.332543
-18.225169,50,64.362801
-19.492577,50,64.393804
-11.745125,50,64.423736
-16.376447,50,64.454152
-11.320554,50,64.485897
-21.043271,50,64.516032
-15.506989,50,64.546591
-19.504863,50,64.577591
-18.073371,50,64.607585
-16.323932,50,64.63819
-17.345167,50,64.668143
-20.048023,50,64.699193
-21.515715,50,64.729712
-15.224713,50,64.759841
-13.904253,50,67.016549
-18.199347,50,67.046185
-14.617437,50,67.07598
-14.853118,50,67.106884
-13.909238,50,67.13717
-15.01786,50,67.167567
-18.832901,50,67.197511
-14.691957,50,67.229124
-21.609349,50,67.259092
-20.666621,50,67.289377
-18.065215,50,67.320764
-15.915248,50,67.350789
-22.189651,50,67.381043
-13.127893,50,67.574099
-15.347172,50,67.604543
-18.211895,50,67.635828
-17.373079,50,67.666221
-20.14974,50,67.696469
-15.0444,50,67.727481
-13.889805,50,67.757612
-15.218315,50,67.787816
-21.128528,50,67.819314
-18.395554,50,67.849604
-13.439987,50,67.880082
-15.024236,50,67.91027
-13.764614,50,67.941513
-15.881515,50,67.972068
-15.822431,50,68.002405
-17.263562,50,68.033888
-15.668334,50,68.064099
-16.990977,50,68.094684
-18.767391,50,68.126189
-16.163297,50,68.156332
-18.121661,50,68.186754
-16.035374,50,68.216775
-16.409432,50,68.248567
-13.142071,50,68.279173
-14.181336,50,68.309207
-21.90917,50,68.341315
-21.156528,50,68.37246
-15.721573,50,68.403005
-14.60909,50,70.586258
-15.455059,50,70.621628
-17.384121,50,70.652478
-17.291779,50,70.68259
-15.163433,50,70.712685
-16.531417,50,70.743228
-10.843663,50,70.774839
-17.057041,50,70.804948
-15.903518,50,70.835075
-15.125309,50,70.866473
-14.857277,50,70.896309
-14.247693,50,70.926332
-14.098551,50,70.95796
-16.862688,50,70.988099
-19.383432,50,71.018468
-14.418588,50,71.048589
-14.173168,50,71.079311
-15.232692,50,71.109514
-10.476174,50,71.139884
-12.240852,50,71.170774
-16.888041,50,71.200847
-18.890839,50,71.231228
-15.405344,50,71.430942
-13.904149,50,71.462337
-16.164572,50,71.492447
-13.715718,50,71.522818
-19.161896,50,71.552802
-12.556845,50,71.583722
-13.151748,50,71.614161
-13.170178,50,71.644299
-13.812527,50,71.675236
-17.481282,50,71.705153
-13.801089,50,71.735749
-14.661393,50,71.76654
-13.9909,50,71.796422
-12.047012,50,71.826408
-18.090726,50,71.856427
-14.938248,50,71.88734
-14.650712,50,71.917645
-13.02081,50,71.947551
-22.100034,50,71.978693
-12.759623,50,74.193451
-15.565609,50,74.223951
-16.062741,50,74.254522
-16.96209,50,74.285671
-11.228866,50,74.317044
-13.963339,50,74.347263
-16.955181,50,74.378384
-13.948079,50,74.40988
-15.3814,50,74.440454
-16.158201,50,74.471238
-15.092067,50,74.502629
-11.579525,50,74.533175
-12.79233,50,74.563857
-10.719245,50,74.595125
-14.264601,50,74.625508
-17.057017,50,74.656176
-14.448715,50,74.686523
-12.829875,50,74.71836
-13.283633,50,74.748754
-15.245445,50,74.779484
-13.170129,50,74.812505
-15.757631,50,74.842881
-13.504379,50,74.873204
-15.283842,50,74.904453
-13.099506,50,74.934485
-14.291801,50,74.965052
-10.959776,50,74.995665
-13.359245,50,75.027327
-16.828598,50,75.05825
-10.202815,50,75.088685
-11.327405,50,75.120242
-14.024312,50,75.315557
-13.77042,50,75.3463
-15.252994,50,75.376378
-17.804209,50,75.40767
-11.922128,50,75.437852
-15.67308,50,75.468363
-11.464604,50,75.498577
-15.166916,50,75.530134
-19.574467,50,75.561288
-16.629217,50,75.591878
-9.37105,50,77.851904
-18.361631,50,77.881775
-12.866445,50,77.911845
