#{"t_start": 1784446208.7240992, "env_id": "NoisyGoalReacher-v0"}
r,l,t
-6.530063,50,49.495746
-6.817187,50,49.527575
-14.775917,50,49.55832
-12.865442,50,49.589725
-13.13205,50,50.167692
-11.14034,50,50.199096
-6.608643,50,50.231277
-4.818377,50,50.262336
-5.815821,50,50.29388
-8.398534,50,50.326222
-7.225816,50,50.357472
-7.89707,50,50.38915
-6.820844,50,50.421551
-11.929193,50,50.452619
-4.505898,50,51.039973
-8.727294,50,51.071415
-14.902591,50,51.102558
-8.93383,50,51.134662
-8.019027,50,51.165941
-12.897415,50,51.196991
-4.612539,50,51.227969
-6.652634,50,51.260391
-7.52923,50,51.291649
-6.981074,50,51.322565
-7.539672,50,51.355567
-8.927897,50,51.930036
-3.738476,50,51.961815
-10.056941,50,51.992834
-6.474919,50,52.02357
-7.156381,50,52.055722
-11.893968,50,52.086785
-8.882628,50,52.117912
-8.989174,50,52.15031
-6.250134,50,52.181446
-6.614285,50,52.213013
-11.078449,50,52.774213
-9.047244,50,52.805887
-11.917958,50,52.837229
-4.006542,50,52.869402
-5.971251,50,52.901148
-6.313835,50,52.934258
-7.985981,50,52.96835
-7.005476,50,53.000552
-10.708072,50,53.034221
-10.921259,50,53.067781
-9.844448,50,53.641889
-6.334091,50,53.674226
-12.735309,50,53.705722
-15.407141,50,53.736908
-13.127342,50,53.769256
-15.093212,50,53.800386
-4.216964,50,53.83156
-3.783361,50,53.863953
-12.646186,50,53.895538
-7.960395,50,53.927047
-5.658451,50,54.486918
-4.425915,50,54.517765
-5.777247,50,54.54887
-8.103095,50,54.580956
-8.165126,50,54.611916
-6.134455,50,54.642918
-5.996244,50,54.675445
-7.895222,50,54.706781
-3.863972,50,54.737724
-9.239411,50,54.76954
-12.903135,50,54.800638
-11.220479,50,55.357826
-6.430849,50,55.390277
-13.794691,50,55.421726
-7.203123,50,55.453656
-5.882709,50,55.486048
-7.257403,50,55.51738
-14.562936,50,55.54923
-15.822891,50,55.581694
-8.060411,50,55.612727
-7.677901,50,55.644457
-12.248773,50,56.20415
-5.728763,50,56.235128
-6.642988,50,56.266122
-9.158894,50,56.297994
-7.200959,50,56.328735
-10.900312,50,56.360235
-11.444607,50,56.3923
-10.657951,50,56.423856
-11.482919,50,56.455324
-13.655755,50,56.487296
-6.446685,50,57.04906
-11.827427,50,57.080155
-5.76011,50,57.111975
-11.39576,50,57.142977
-6.33874,50,57.174473
-6.107227,50,57.206508
-8.63635,50,57.237308
-6.703478,50,57.268795
-3.496045,50,57.300862
-9.673666,50,57.333135
-7.367929,50,57.900246
-11.105006,50,57.93223
-12.326605,50,57.963969
-7.120241,50,57.99562
-7.261992,50,58.028244
-7.692438,50,58.060116
-6.919119,50,58.091779
-9.851462,50,58.123889
-12.792461,50,58.155594
-7.100391,50,58.186841
-6.122265,50,58.219449
-7.973603,50,58.816031
-13.422782,50,58.847381
-6.938463,50,58.878712
-8.63718,50,58.909818
-12.291535,50,58.942551
-5.261754,50,58.973814
-6.862617,50,59.005482
-12.104916,50,59.037726
-9.569623,50,59.068931
-8.513384,50,59.100271
-4.978095,50,59.70453
-9.943653,50,59.738828
-6.177164,50,59.771714
-6.648315,50,59.804773
-5.846584,50,59.838569
-6.722196,50,59.870328
-7.421762,50,59.902097
-3.208914,50,59.934668
-12.813419,50,59.96621
-7.035282,50,59.998454
-11.807134,50,60.577838
-11.64384,50,60.609078
-7.228275,50,60.641683
-9.058302,50,60.67323
-7.008441,50,60.704384
-12.344377,50,60.736818
-5.40765,50,60.768354
-6.826645,50,60.800017
-7.807764,50,60.831117
-8.227404,50,60.863367
-7.437165,50,61.446315
-5.356769,50,61.477806
-7.642168,50,61.509416
-6.975666,50,61.540449
-9.837838,50,61.573684
-11.686398,50,61.606519
-8.185997,50,61.638387
-12.028191,50,61.671659
-8.197066,50,61.703533
